"ProductID","Name","StandardCost","ListPrice"
1,Product_1,99.29,115.1
2,Product_2,63.12,34.76
3,Product_3,177.86,135.24
4,Product_4,152.07,224.09
5,Product_5,191.08,144.13
6,Product_6,72.84,334.59
7,Product_7,115.03,123.19
8,Product_8,118.74,386.8
9,Product_9,196.26,193.76
10,Product_10,24.32,339.97
11,Product_11,68.08,93.86
12,Product_12,46.27,176.31
13,Product_13,61.01,285.81
14,Product_14,102.2,72.57
15,Product_15,80.81,70.44
16,Product_16,84.99,388.42
17,Product_17,170.4,291.55
18,Product_18,186.7,35.61
19,Product_19,23.38,171.55
20,Product_20,49.69,184.74
21,Product_21,137.52,302.74
22,Product_22,78.14,115.33
23,Product_23,58.29,90.05
24,Product_24,66.11,50.73
25,Product_25,71.28,182.76
26,Product_26,171.25,281.63
27,Product_27,35.96,42.11
28,Product_28,144.69,367.78
29,Product_29,115.04,188.09
30,Product_30,66.34,111.12
31,Product_31,89.76,55.67
32,Product_32,58.68,89.49
33,Product_33,126.19,375.15
34,Product_34,25.5,262.54
35,Product_35,10.99,216.34
36,Product_36,129.3,269.7
37,Product_37,46.91,185.56
38,Product_38,23.48,297.41
39,Product_39,85.39,38.13
40,Product_40,19.65,235.09
41,Product_41,178.46,80.29
42,Product_42,15.25,65.66
43,Product_43,119.98,149.91
44,Product_44,93.31,54.88
45,Product_45,137.68,55.78
46,Product_46,72.35,138.34
47,Product_47,39.46,392.21
48,Product_48,196.55,86.63
49,Product_49,169.4,26.52
50,Product_50,173.48,310.08
