"SalesOrderID","ProductID","OrderQty","UnitPrice","LineTotal"
16,47,8,95.81,766.48
8,22,8,299.77,2398.16
4,14,1,221.34,221.34
40,26,3,288.75,866.25
4,28,9,311.76,2805.84
25,23,5,53.17,265.85
3,14,6,212.32,1273.92
32,24,4,374.17,1496.68
3,2,2,141.84,283.68
27,45,8,245.68,1965.44
29,26,6,160.31,961.86
32,14,5,192.62,963.1
50,7,9,228.47,2056.23
19,3,1,228.59,228.59
21,47,5,96.66,483.3
5,23,6,280.14,1680.84
18,46,5,53.39,266.95
28,43,6,72.75,436.5
42,47,6,21.03,126.18
22,45,7,64.34,450.38
21,18,4,199.8,799.2
6,38,8,250.32,2002.56
1,35,7,321.83,2252.81
5,15,9,60.55,544.95
41,25,7,343.28,2402.96
12,37,3,303.47,910.41
26,28,3,175.24,525.72
46,10,8,374.52,2996.16
34,39,5,396.55,1982.75
49,17,4,97.9,391.6
14,39,8,164.11,1312.88
26,22,6,372.05,2232.3
45,26,2,294.21,588.42
27,44,4,38.28,153.12
9,25,4,316.98,1267.92
26,17,6,334.62,2007.72
47,13,6,305.19,1831.14
22,20,1,323.82,323.82
47,25,8,333.55,2668.4
30,4,6,90.83,544.98
43,10,3,109.56,328.68
48,3,9,260.83,2347.47
17,41,2,364.99,729.98
26,45,8,140.15,1121.2
36,18,3,243.56,730.68
1,47,5,279.53,1397.65
8,36,6,191.74,1150.44
49,47,6,291.24,1747.44
35,22,4,361.87,1447.48
15,34,3,257.16,771.48
