"SalesOrderID","OrderDate","ShipDate","CustomerID","SalesPersonID","TerritoryID","SubTotal","ModifiedDate"
1,"2023-03-26","2023-02-04",12,29,16,4563.54,"2023-04-22"
2,"2023-02-08","2023-03-22",61,37,21,4130.43,"2023-02-16"
3,"2023-04-10","2023-03-31",19,38,11,4754.02,"2023-05-31"
4,"2023-02-02","2023-01-08",76,19,37,3656.03,"2023-03-26"
5,"2023-04-11","2023-04-03",9,8,36,3105.73,"2023-05-22"
6,"2023-01-23","2023-06-03",71,48,35,2149.39,"2023-03-07"
7,"2023-01-10","2023-03-31",28,45,19,4670.37,"2023-03-16"
8,"2023-03-10","2023-06-11",78,1,20,4343.71,"2023-06-28"
9,"2023-04-10","2023-04-25",95,22,18,321.57,"2023-04-13"
10,"2023-02-03","2023-04-15",52,17,47,229.2,"2023-06-15"
11,"2023-06-29","2023-05-15",83,7,41,1944.67,"2023-07-11"
12,"2023-05-18","2023-07-15",16,25,49,4071.71,"2023-02-07"
13,"2023-05-27","2023-02-27",69,45,14,4937.65,"2023-02-19"
14,"2023-07-05","2023-04-24",99,4,15,837.04,"2023-04-08"
15,"2023-04-06","2023-03-16",12,36,31,3011.24,"2023-03-23"
16,"2023-01-01","2023-06-06",25,6,1,1966.37,"2023-01-30"
17,"2023-03-10","2023-04-30",52,31,3,4852.58,"2023-03-20"
18,"2023-01-04","2023-06-13",85,19,16,4226.38,"2023-04-01"
19,"2023-01-16","2023-01-21",53,44,23,4207.81,"2023-06-28"
20,"2023-01-24","2023-06-13",23,39,11,2396.6,"2023-07-10"
21,"2023-03-21","2023-05-18",16,27,12,2132.62,"2023-02-21"
22,"2023-01-02","2023-04-11",57,10,10,1439.69,"2023-06-15"
23,"2023-05-08","2023-06-01",39,26,32,376.24,"2023-03-20"
24,"2023-06-09","2023-07-11",53,19,16,4337.14,"2023-01-30"
25,"2023-03-25","2023-06-26",42,39,8,4083.21,"2023-04-16"
26,"2023-06-01","2023-04-09",58,3,38,4998.62,"2023-02-20"
27,"2023-05-20","2023-02-05",39,45,12,4983.52,"2023-03-22"
28,"2023-06-27","2023-04-06",14,13,24,2821.62,"2023-05-13"
29,"2023-06-12","2023-06-01",95,50,28,3868.04,"2023-01-29"
30,"2023-05-04","2023-05-31",5,28,8,4729.35,"2023-05-12"
31,"2023-02-02","2023-07-09",35,20,28,4263.27,"2023-05-18"
32,"2023-06-10","2023-02-06",87,28,36,1312.01,"2023-07-03"
33,"2023-07-08","2023-01-12",93,8,26,2307.67,"2023-05-25"
34,"2023-06-28","2023-04-23",75,41,8,732.88,"2023-03-15"
35,"2023-06-20","2023-07-02",18,39,50,4774.85,"2023-01-17"
36,"2023-04-11","2023-01-13",76,1,28,3070.26,"2023-03-25"
37,"2023-01-12","2023-01-23",9,3,28,1220.35,"2023-03-10"
38,"2023-03-08","2023-04-09",74,13,37,3391.33,"2023-02-03"
39,"2023-03-06","2023-04-15",58,28,41,3128.83,"2023-01-06"
40,"2023-06-10","2023-01-30",17,49,36,1855.0,"2023-02-22"
41,"2023-06-17","2023-01-17",7,25,27,656.43,"2023-07-13"
42,"2023-03-15","2023-04-23",46,33,17,3390.71,"2023-05-06"
43,"2023-02-12","2023-03-03",13,38,9,2649.51,"2023-02-12"
44,"2023-02-13","2023-03-25",40,6,33,3884.36,"2023-04-25"
45,"2023-01-29","2023-04-22",42,44,20,2648.8,"2023-04-21"
46,"2023-05-21","2023-03-27",9,45,13,4275.69,"2023-05-31"
47,"2023-01-12","2023-05-21",50,32,28,2804.34,"2023-07-02"
48,"2023-04-05","2023-07-06",27,45,48,2848.6,"2023-03-21"
49,"2023-02-15","2023-01-19",66,47,29,4395.6,"2023-04-05"
50,"2023-05-10","2023-06-26",5,21,13,2077.07,"2023-04-28"
