"BusinessEntityID","TerritoryID","SalesQuota","Bonus","CommissionPct"
1,35,11678,7528,0.97
2,33,43827,6249,0.56
3,5,26198,6172,0.88
4,42,19914,2707,0.19
5,39,37890,6791,0.28
6,41,32299,6535,0.7
7,28,12693,5931,0.85
8,7,39467,4510,0.86
9,9,39723,1202,0.4
10,8,13627,5218,0.89
11,12,35939,9958,0.85
12,34,31834,5389,0.94
13,33,28047,3327,0.79
14,48,36105,9004,0.67
15,23,20230,3931,0.58
16,24,25707,8777,0.37
17,37,31976,1197,0.94
18,35,33776,8125,0.97
19,44,40080,2930,0.28
20,40,11306,7287,0.31
21,22,16776,9800,0.49
22,27,37251,5282,0.45
23,35,19474,3511,0.99
24,1,31959,1659,0.18
25,35,15530,3811,0.02
26,37,39320,8098,0.49
27,47,13748,7546,0.18
28,14,41968,2986,0.37
29,3,42562,9338,0.74
30,1,23545,3911,0.72
31,5,10663,2734,0.31
32,26,44766,2843,0.54
33,14,17994,9680,0.51
34,39,38021,3976,0.64
35,27,40303,2959,0.25
36,9,13304,6759,0.59
37,15,49353,7694,0.98
38,15,27675,3385,0.49
39,26,33938,5736,0.91
40,42,33664,2802,0.43
41,13,11636,9155,0.35
42,32,30080,9120,0.65
43,39,37728,7616,0.67
44,49,36736,6534,0.86
45,32,38673,5061,0.23
46,4,47505,1262,0.5
47,30,10854,7287,0.57
48,37,34548,9815,0.77
49,23,48623,3049,0.04
50,39,17392,6423,0.99
