"TerritoryID","Name","CountryRegionCode","Group"
1,Region_1,DE,South America
2,Region_2,FR,South America
3,Region_3,UK,North America
4,Region_4,FR,South America
5,Region_5,FR,South America
6,Region_6,BR,Europe
7,Region_7,UK,North America
8,Region_8,UK,Europe
9,Region_9,UK,Europe
10,Region_10,FR,Europe
11,Region_11,DE,Europe
12,Region_12,UK,Europe
13,Region_13,FR,Europe
14,Region_14,BR,Europe
15,Region_15,DE,North America
16,Region_16,BR,South America
17,Region_17,DE,Europe
18,Region_18,FR,Europe
19,Region_19,US,Europe
20,Region_20,DE,Europe
21,Region_21,BR,Europe
22,Region_22,FR,Europe
23,Region_23,DE,South America
24,Region_24,US,South America
25,Region_25,US,Europe
26,Region_26,UK,South America
27,Region_27,UK,North America
28,Region_28,BR,Europe
29,Region_29,DE,North America
30,Region_30,DE,North America
31,Region_31,UK,Europe
32,Region_32,DE,South America
33,Region_33,DE,North America
34,Region_34,US,Europe
35,Region_35,UK,North America
36,Region_36,FR,North America
37,Region_37,UK,North America
38,Region_38,FR,North America
39,Region_39,US,South America
40,Region_40,BR,North America
41,Region_41,DE,North America
42,Region_42,US,North America
43,Region_43,DE,South America
44,Region_44,BR,North America
45,Region_45,BR,North America
46,Region_46,US,South America
47,Region_47,BR,South America
48,Region_48,FR,South America
49,Region_49,BR,North America
50,Region_50,DE,South America
